Condition; FLEW_TO_SS;                              Alpha pilot achievement (Fly to the Sun Station)
Condition; THERE_IS_BUT_VOID;                       Die hard achievement - (1000 damages healed)
Condition; DESTROYED_TIMELINE_LAST_SAVE;            Destroyed Timeline (can be triggered multiple times)
Condition; GAME_OVER_LAST_SAVE;                     Triggered game over
----------------------------------------------------------------------------------------------------
Signal; 10; Traveler    ; Esker
Signal; 11; Traveler    ; Chert
Signal; 12; Traveler    ; Riebeck
Signal; 13; Traveler    ; Gabbro
Signal; 14; Traveler    ; Feldspar
Signal; 15; Traveler    ; Nomai
Signal; 16; Traveler    ; Prisoner
Signal; 25; Quantum     ; Quantum Moon
Signal; 20; Quantum     ; Ember Twin Shard
Signal; 21; Quantum     ; Timber Hearth Museum Shard
Signal; 22; Quantum     ; Timber Hearth Grove Shard
Signal; 23; Quantum     ; Brittle Hollow Shard
Signal; 24; Quantum     ; Giant's Deep Shard
Signal; 31; Escape Pod  ; Brittle Hollow
Signal; 30; Escape Pod  ; Ember Twin
Signal; 32; Escape Pod  ; Dark Bramble
Signal; 60; Hide & Seek ; Galena
Signal; 61; Hide & Seek ; Tephra
Signal; 100; Radio      ; Radio Tower
Signal; 101; Radio      ; Satellite
----------------------------------------------------------------------------------------------------
Fact; S_SUNSTATION_X1       ;Sun Station; Upper level - Scroll (in wall), -Read 1st node
Fact; S_SUNSTATION_X4       ;Sun Station; Lower level - Nomai computer - Read any ring
Fact; S_SUNSTATION_X2       ;Sun Station; Lower level - Ash Twin Stone (on bench) - Read 2nd node
Fact; S_SUNSTATION_X3       ;Sun Station; Lower level - Ash Twin Stone (on bench) - Read 5th node (left)

Fact; TT_WARP_TOWERS_X1     ;Ash Twin;                  Twins, Brittle Hollow or Sun Station Tower - Any of these 3 texts, Read the 1st node
Fact; TT_WARP_TOWERS_X2     ;Ash Twin;                  Brittle Hollow tower text - Read 4th node (up)
Fact; TT_TIME_LOOP_DEVICE_X1;Ash Twin;Ash Twin Project; Enter the ATP
Fact; TT_TIME_LOOP_DEVICE_X4;Ash Twin;Ash Twin Project; 2nd text from the right - Read 1st node
Fact; TT_TIME_LOOP_DEVICE_X3;Ash Twin;Ash Twin Project; 3rd text from the right - Read 1st node
Fact; TT_TIME_LOOP_DEVICE_X2;Ash Twin;Ash Twin Project; Nomai computer (near masks) - Read middle ring
Fact; TT_TIME_LOOP_DEVICE_X5;Ash Twin;Ash Twin Project; Nomai computer (near the controls) - Read either ring

Fact; CT_CHERT_X1               ;Ember Twin;Chert's Camp           ; Talk to Chert
Fact; CT_CHERT_X2               ;Ember Twin;Chert's Camp           ; Talk to Chert in state 1 or 2 (Chipper or Nervous)
Fact; CT_CHERT_X3               ;Ember Twin;Chert's Camp           ; Talk to Chert in state 3 (Panicked)
Fact; CT_CHERT_X4               ;Ember Twin;Chert's Camp           ; Talk to Chert in state 3 (Panicked) and ask Why are the stars dying?
Fact; CT_CHERT_X5               ;Ember Twin;Chert's Camp           ; Talk to Chert in state 4 (Catatonia)
Fact; CT_QUANTUM_MOON_LOCATOR_X2;Ember Twin;Quantum Moon Locator   ; Scroll (in wall) - Read 3rd node (left, down)
Fact; CT_QUANTUM_MOON_LOCATOR_X1;Ember Twin;Quantum Moon Locator   ; Scroll (near campfire) - Read 1st node
Fact; CT_QUANTUM_MOON_LOCATOR_X3;Ember Twin;Quantum Moon Locator   ; Scroll (near campfire) - Read 3rd (up) or 4th (left) node
Fact; CT_GRAVITY_CANNON_X1      ;Ember Twin;Gravity Cannon         ; Activate the gravity cannon
Fact; CT_GRAVITY_CANNON_X2      ;Ember Twin;Gravity Cannon         ; Recall the frozen shuttle
Fact; COMET_SHUTTLE_X2          ;Ember Twin;Gravity Cannon         ; Recording Inside Shuttle - Read 2nd page
